,open,high,low,close,prev_close,volume,turnover,vwap,trades,daily_return,log_return,price_range,volatility_30d,volatility_90d,decade,year,month,RSI,PE_Ratio,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,RSI_14,BB_mid,BB_upper,BB_lower,BB_width,BB_squeeze,MACD,MACD_signal,MACD_hist
1995-02-03,274.0,282.55,268.5,279.05,274.75,409200.0,113294867.5,276.87,,0.0156505914467697,0.0155293839507117,14.050000000000011,0.5080292445173438,,1990s,1995,2,,,318.797,,,277.9718468432201,309.42344333466787,46.364954727013355,272.2625,306.7122173619122,237.81278263808775,68.89943472382447,False,-15.199698285033378,-19.421085674222443,4.221387389189065
1995-02-06,280.0,281.0,266.5,269.8,279.05,276000.0,75077712.5,272.02,,-0.0331481813295108,-0.033710033460787,14.5,0.5131068826625222,,1990s,1995,2,,,316.533,,,277.1935757152944,307.8695828117397,42.432055087002745,270.635,302.0408341881325,239.22916581186746,62.81166837626506,False,-14.080151960064654,-18.352898931390886,4.272746971326232
1995-02-07,270.0,270.0,262.0,267.8,269.8,323800.0,85776395.0,264.91,,-0.0074128984432912,-0.0074405105165833,8.0,0.5130068617113352,,1990s,1995,2,,,314.279,,,276.2989494566949,306.298226623044,41.61019902379496,269.65749999999997,300.07420723380835,239.24079276619162,60.833414467616734,False,-13.202101113322044,-17.322739367777118,4.1206382544550735
1995-02-08,267.75,268.7,264.0,266.6,267.8,140300.0,37405362.5,266.61,,-0.0044809559372666,-0.0044910255124638,4.699999999999989,0.511898478423042,,1990s,1995,2,,,312.006,,,275.3752399846287,304.7414334221403,41.09587610843565,268.225,296.1644740560046,240.28552594399542,55.8789481120092,False,-12.459444739226626,-16.350080442067018,3.8906357028403917
1995-02-09,267.0,277.5,264.0,276.25,266.6,359150.0,97903242.5,272.6,,0.0361965491372842,0.0355568450873541,13.5,0.5270448458741201,,1990s,1995,2,,,309.95099999999996,,,275.45855046228314,303.62412230754654,46.791577535227134,268.125,295.92737589241244,240.32262410758756,55.604751784824884,False,-10.965802910642083,-15.273224935782032,4.3074220251399495
1995-02-10,279.0,281.0,268.0,269.85,276.25,249550.0,68386137.5,274.04,,-0.0231674208144795,-0.0234400037673106,13.0,0.5279391857838835,,1990s,1995,2,,,307.863,,,274.92440279920856,302.29964692293686,43.76881749954284,267.30249999999995,293.78280996399604,240.82219003600386,52.960619927992184,False,-10.181145604364872,-14.2548090694986,4.073663465133729
1995-02-13,270.0,270.0,262.0,268.65,269.85,210700.0,56009110.0,265.82,,-0.0044469149527517,-0.0044568318898215,8.0,0.5275655651014621,,1990s,1995,2,,,305.631,,,274.32684062785535,300.980052925959,43.20523395896176,266.53000000000003,291.82180021063294,241.23819978936712,50.58360042126583,False,-9.546087650964012,-13.313064785791685,3.7669771348276733
1995-02-14,269.8,274.0,265.1,270.05,268.65,200400.0,54331950.0,271.12,,0.0052112413921461,0.0051977098640698,8.899999999999977,0.5283331983109184,,1990s,1995,2,,,303.582,,,273.91952247282154,299.7671096739606,44.10943184036868,266.1675,291.01324039527316,241.32175960472688,49.69148079054628,False,-8.828066888032197,-12.41606520623979,3.5879983182075925
1995-02-15,271.0,274.7,262.5,264.95,270.05,248100.0,66520210.0,268.12,,-0.0188853915941493,-0.0190659981001291,12.199999999999989,0.5292623175158819,,1990s,1995,2,,,301.556,,,273.0652822373147,298.40173282400133,41.51643466157219,265.2475,288.7401298633118,241.75487013668823,46.98525972662355,False,-8.571747864219105,-11.647201737835653,3.0754538736165475
1995-02-16,265.0,265.9,255.5,256.45,264.95,202000.0,52235665.0,258.59,,-0.032081524816003,-0.0326074151034936,10.399999999999975,0.5292013161522822,,1990s,1995,2,,,299.465,,,271.4828744051895,296.75656683090324,37.5540156694229,263.8725,285.9314753782145,241.81352462178555,44.11795075642894,False,-8.951307057935708,-11.108022801855665,2.156715743919957
